Model,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression (SMOTEENN),0.72,0.7564224548049476,0.5247058823529411,0.8050541516245487,0.6353276353276354,0.8478437298855399
Random Forest (SMOTEENN),0.62,0.7497621313035204,0.5164319248826291,0.7942238267148014,0.6258890469416786,0.8435339881901882
Gradient Boosting (SMOTEENN),0.52,0.7326355851569933,0.49588477366255146,0.8700361010830325,0.6317169069462647,0.8514748271905521
KNN (SMOTEENN),0.76,0.7392959086584205,0.5034642032332564,0.7870036101083032,0.6140845070422535,0.8306467411076597
SVM (SMOTEENN),0.56,0.7335870599429115,0.4968152866242038,0.8447653429602888,0.6256684491978609,0.8411132566535136
XGBoost (SMOTEENN),0.72,0.7526165556612749,0.5201900237529691,0.7906137184115524,0.6275071633237822,0.8501175384098733
Gradient Boosting Reduced (Top 5),0.58,0.7488106565176023,0.5160493827160494,0.7545126353790613,0.6129032258064516,0.8355348464071494
